,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
2,100.5,119.2,146.5,31.977999999999998,0.272,0.132,0.059,5.293,2.57,2.819,0.494,10.395,8.07,6.411,2.917,9.138,9.649,4.81,5.373,6.405,9.759,4.59,3.661,0.875,5.257,0.525,0.319
3,99.6,117.9,145.5,31.567999999999998,0.297,0.151,0.062,5.089,2.531,2.804,0.499,10.074,7.958,6.395,2.894,8.97,9.548,4.753,5.443,6.324,9.899,4.301,2.995,0.881,5.591,1.119,0.303
4,100,118.8,145.6,31.344,0.262,0.126,0.061,5.107,2.571,2.771,0.492,10.069,7.913,6.378,2.89,9.006,9.591,4.778,5.468,6.36,9.983,4.274,2.979,0.865,5.641,0.964,0.289
5,100.4,118.6,142.9,31.453000000000003,0.224,0.105,0.06,4.894,2.497,2.65,0.469,10.015,7.685,6.376,2.866,9.133,9.708,4.889,5.51,6.444,10.182,4.42,2.964,0.83,5.637,0.968,0.281
6,100.4,118.1,142.2,32.19,0.243,0.117,0.061,4.946,2.503,2.695,0.477,10.053,7.765,6.394,2.877,9.101,9.676,4.855,5.5,6.416,10.115,4.347,3.725,0.835,4.8229999999999995,0.9690000000000001,0.29
7,100.4,117.6,143.2,32.385,0.357,0.203,0.067,4.986,2.478,2.877,0.511,10.173,7.964,6.579,2.93,9.035,9.619,4.848,5.465,6.281,9.918,4.291,3.608,0.8190000000000001,4.681,0.9279999999999999,0.281
8,100,118.1,143.6,32.332,0.374,0.005,0.068,5.009,0.212,2.902,0.516,10.186,2.491,6.602,2.934,9.006,7.986,4.732,5.456,6.239,9.597,4.319,3.578,0.81,14.673,0.876,0.349
9,99.4,117.7,142.8,32.432,0.357,0.206,0.065,4.971,2.444,2.913,0.514,10.218,8.013,6.628,2.938,9.026,9.617,4.859,5.459,6.236,9.887,4.286,3.571,0.803,4.636,0.917,0.282
10,100.3,118.1,143.1,31.706,0.351,0.202,0.065,4.965,2.431,2.913,0.513,10.234,8.025,6.637,2.941,9.029,9.622,4.858,5.461,6.237,9.888,4.281,2.842,0.802,5.35,0.9139999999999999,0.281
11,100.5,118.3,144.8,32.403,0.397,0.236,0.069,4.982,2.461,2.939,0.522,10.229,8.025,6.655,2.95,9.021,9.611,4.858,5.46,6.232,9.894,4.221,3.55,0.799,4.602,0.9,0.279
12,99.7,117.8,142.5,31.786,0.342,0.196,0.065,4.915,2.415,2.861,0.513,10.18,7.967,6.556,2.954,9.043,9.637,4.827,5.505,6.299,9.938,4.282,2.9,0.806,5.313,1.048,0.275
13,100.1,117.8,142.7,32.491,0.168,0.077,0.045,4.461,2.068,2.61,0.451,10.161,7.808,6.408,2.952,9.271,9.844,4.881,5.675,6.512,10.246,4.421,3.782,0.832,4.912,0.92,0.346
14,99.6,118.3,143.9,32.437999999999995,0.297,0.163,0.06,4.823,2.349,2.797,0.499,10.153,7.917,6.497,2.948,9.088,9.677,4.833,5.552,6.359,10.016,4.32,3.678,0.814,4.789,0.912,0.342
15,100.5,118.3,143.2,32.044,0.219,0.092,0.054,5.129,2.497,2.795,0.497,10.247,8.049,6.376,2.947,9.043,9.673,4.644,5.528,6.338,10.087,4.351,3.67,0.806,4.698,0.864,0.318
16,100.9,119,145.6,32.881,0.215,0.091,0.054,5.09,2.474,2.787,0.493,10.28,8.034,6.393,2.951,9.064,9.687,4.647,5.537,6.349,9.227,5.132,3.686,0.798,4.738,0.883,0.318
17,100.9,118.9,144.7,32.949,0.215,0.093,0.054,5.035,2.446,2.768,0.489,10.227,7.987,6.371,2.939,9.077,9.684,4.753,5.557,6.395,9.174,5.119,3.712,0.8,4.78,0.931,0.256
18,101.4,119.5,144.5,33.004,0.248,0.12,0.057,4.903,2.39,2.752,0.482,10.23,7.874,6.373,2.934,9.123,9.683,4.778,5.542,6.442,9.195,5.071,3.74,0.836,4.85,0.929,0.346
19,101.2,118.8,143.1,33.168,0.202,0.098,0.051,4.547,2.165,2.631,0.454,10.184,7.715,6.36,2.928,9.253,9.768,4.825,5.634,6.561,9.425,5.264,3.787,0.831,4.879,0.952,0.282
20,100.9,118.7,142.9,33.05200000000001,0.284,0.15,0.06,4.817,2.362,2.747,0.481,10.209,7.807,6.402,2.929,9.131,9.672,4.786,5.562,6.461,9.246,5.163,3.714,0.82,4.817,0.934,0.274
21,100.5,119.2,144.4,32.009,0.359,0.213,0.065,4.757,2.341,2.791,0.493,10.207,7.799,6.469,2.949,9.118,9.65,4.805,5.561,6.419,10.018,4.35,3.703,0.819,5.188,0.555,0.268
22,100.1,118.4,143.6,32.095,0.497,0.316,0.076,4.81,2.417,2.878,0.52,10.18,7.812,6.539,2.96,9.059,9.599,4.813,5.526,6.351,9.907,4.279,3.651,0.812,5.1,0.546,0.307
23,101.8,120.1,146.7,34.12,0.398,0.255,0.077,4.417,2.162,3.023,0.493,9.79,7.398,7.105,3.01,8.752,9.06,5.341,5.486,6.139,9.582,4.736,3.066,1.113,5.737,1.077,0.706
24,101.6,118.9,143.3,32.396,0.269,0.151,0.054,4.448,1.979,2.77,0.446,10.337,7.769,6.503,2.972,9.174,9.618,4.839,5.614,6.478,9.979,4.358,3.876,0.89,5.304,0.634,0.33
25,101.9,120.3,146.6,32.323,0.47,0.152,0.054,4.456,1.982,2.768,0.447,10.36,7.783,6.514,2.977,9.193,9.643,4.836,5.61,6.488,10.011,4.307,3.855,0.885,5.271,0.615,0.34
26,100.7,118.4,143.3,32.001,0.38,0.234,0.062,4.704,2.204,2.835,0.484,10.349,7.878,6.511,2.962,9.142,9.662,4.693,5.543,6.379,10.002,4.288,3.709,0.823,5.202,0.543,0.371
27,101.1,118.4,143.5,33.684,0.384,0.237,0.124,4.787,2.083,2.841,0.481,10.511,7.893,6.495,2.968,9.234,9.698,5.617,4.083,6.424,8.974,6.017,3.462,0.832,3.892,1.221,0.375
