,MB Deviation of Compensated Data(%),"Reformer Loading, %","Naphtha Feed Rate, m3/hr","    N+2A in Naphtha Feed, wt%","    N+A in Naphtha Feed, wt%","    C6P- in Naphtha Feed, wt%","    C10+ in Naphtha Feed, wt%","    Sulfer in Naphtha Feed, ppmw","    3R211 Inlet Tem, oC","    3R212 Inlet Temp, oC","    3R213 Inlet Temp, oC","    3R214 Inlet Temp, oC","    WAIT(Weight Average  Inlet Temp), oC",H2/HC Ratio,"    Carbon in Fresh Catalyst, %","    Chlorine in Fresh Catalyst, wt%",Feed    Hydrogen,Feed    Methane,Feed    Ethane,Feed    Propane,Feed    n-Butane,Feed    i-Butane,Feed    C4 Naphthenes,Feed    n-Pentane,Feed    C5 i-Paraffins,Feed    C5 Naphthenes,Feed    n-Hexane,Feed    C6 i-Paraffins,Feed    C6 Naphthenes,Feed    Benzene,Feed    n-Heptane,Feed    C7 i-Paraffins,Feed    C7 Naphthenes,Feed    Toluene,Feed    n-Octane,Feed    C8 i-Paraffins,Feed    C8 Naphthenes,Feed    Ethylbenzene,Feed    P-Xylene,Feed    M-Xylene,Feed    O-Xylene,Feed    n-Nonane,Feed    C9 i-Paraffins,Feed    C9 Naphthenes,Feed    C9 Aromtics,Feed    C10+ n-Paraffins,Feed    C10+ i-Paraffins,Feed    C10+ Naphthenes,Feed    C10+ Aromtics,Sum,Product    Hydrogen,Product    Methane,Product    Ethane,Product    Propane,Product    n-Butane,Product    i-Butane,Product    C4 Naphthenes,Product    n-Pentane,Product    C5 i-Paraffins,Product    C5 Naphthenes,Product    n-Hexane,Product    C6 i-Paraffins,Product    C6 Naphthenes,Product    Benzene,Product    n-Heptane,Product    C7 i-Paraffins,Product    C7 Naphthenes,Product    Toluene,Product    n-Octane,Product    C8 i-Paraffins,Product    C8 Naphthenes,Product    Ethylbenzene,Product    P-Xylene,Product    M-Xylene,Product    O-Xylene,Product    n-Nonane,Product    C9 i-Paraffins,Product    C9 Naphthenes,Product    C9 Aromtics,Product    C10+ n-Paraffins,Product    C10+ i-Paraffins,Product    C10+ Naphthenes,Product    C10+ Aromtics,ProductSum,"Product Separator Pressure, kg/cm2_g","Product Separator Temp, oC","Reformate Flow, m3/hr","    - Aroma in Reformate, wt%","   - C8N+ in Reformate, wt%",    - Reformate RON,"LPG Flow, m3/hr","Net Gas Flow, Nm3/hr","    H2 Purity, mole%","Calibrated Recycle Gas Rate, Nm3/hr","    H2 Purity, mole%","C5+ Yield, (wt% of Feed)",Aroma Yield (wt% of Feed),"    3R211 Temp Drop, oC","    3R212 Temp Drop, oC","    3R213 Temp Drop, oC","    3R214 Temp Drop, oC","    Reactor Total Temp Drop, oC","Carbon in Spent Catalyst, %","Chlorine in Spent Catalyst, wt%",PC4,SAP,SAN
2017/1/1,1.16488792,134.2070414,99.71583173,53.87265698,41.37282341,4.691681744,1.917693169,0.55,515.7902179,515.7948027,515.7986193,515.8037629,515.7997785,1.364180663,0.020855,0.945335,0,0,0,0.132602834,0.309406613,0.736682411,0.294672965,2.210047234,0,3.683412057,2621.054176,828.4114261,2872.006171,335.1904972,7663.363614,5495.127645,6275.190756,2493.669963,8065.440637,5299.403205,9436.213476,1209.398395,670.8822875,1643.698972,1167.213941,4231.103471,7781.757092,2607.338575,1563.240077,284.2563116,923.2138499,78.89995798,126.5867458,73680.02807,2506.865147,895.4857294,2834.029183,3252.625309,1080.730964,1286.502104,1.298902541,2015.625712,3026.98103,34.84987603,874.6540052,2173.68612,82.57781127,2505.374688,911.9031616,3561.442998,129.39706,13154.34028,0,396.5488263,113.5643059,3195.300252,1886.951147,9586.491166,4970.073452,6.494512707,86.19989593,5.313692215,11136.90847,66.71635781,125.5141334,90.65749329,1684.949366,73680.05316,4.798522503,32.25364833,71.32706352,81.68905931,0.354857782,105.2,6.634452813,31847.64307,87.5038,26762.29183,78.0854,83.90671989,65.30992686,104.0880263,75.7488189,45.62138974,35.4466078,260.9048427,3.4955,0.901865,2367.233068,13247.06566,456.3602387
2017/1/2,1.159604181,133.720774,99.35453505,53.28376194,40.86878021,5.040833853,1.98686092,0.51,515.9989459,515.9995683,515.9873137,515.9717102,515.9825134,1.399021656,0.01843,0.94818,0,0,0,0.330067435,0.770157348,1.833707971,0.733483188,2.933932754,0,5.134382319,2765.305217,920.5847546,2861.180968,364.5411447,7743.48502,5555.939479,6119.542915,2470.371379,8060.220554,5312.019823,9276.987,1178.240502,653.5982572,1601.352136,1137.142852,4121.137922,7653.654273,2524.462565,1564.519641,299.2796766,937.2970712,83.80244025,137.0519075,73353.45323,2460.806027,911.9706347,2724.63701,3256.804749,1193.755651,1471.399286,1.40986338,1935.6321,2906.091644,34.51523883,922.4674224,2270.806543,86.70701301,2565.944453,915.5371953,3637.657627,134.0251491,12987.77895,-0.009529783,375.3094468,111.6665677,3131.2613,1849.133613,9394.362476,4870.465192,6.461873825,82.2420305,5.286987675,11080.35128,68.26088532,128.952147,93.66779831,1738.147551,73353.50617,4.800911955,31.2195834,71.0666135,81.22790065,0.358499737,104.81,6.769891957,31395.98743,87.1127,27198.95788,78.5579,83.61253081,64.91502219,103.9805792,76.01242937,45.05202648,35.09002552,260.1350606,3.342,0.882035,2665.154937,13250.81925,465.8687546
2017/1/3,1.588568388,133.6124725,99.27406709,54.9935195,41.60285665,4.651208192,1.862813719,0.56,515.9908259,515.9995032,515.9946235,515.9879666,515.9916472,1.335252064,0.017965,0.941905,0,0,0,0.066074183,0.154173093,0.367078792,0.146831517,2.202472753,0,3.670787922,2599.181556,809.2722691,2801.051024,359.7372164,7721.43078,5512.89124,6066.680875,2516.6922,8093.499421,5322.243757,9274.865285,1360.64179,754.780625,1849.254573,1313.181887,3954.938412,7687.273886,2490.321204,1560.819025,279.6352292,893.8366245,77.53126291,116.7324633,73423.10002,2377.777507,884.6196689,2806.682073,3247.460824,1257.995279,1598.374206,1.408239626,1894.454434,2851.950065,33.68247247,893.3386373,2211.622997,83.58753352,2561.265461,900.2992154,3548.625312,130.7965435,12964.01794,0,377.4446142,108.9848233,3281.55078,1937.885494,9845.258688,5104.230316,5.867665109,78.03994595,5.280898598,10550.64863,66.42196903,124.337059,89.77527616,1599.465597,73423.15016,4.801943622,31.15463544,70.856174,81.7070077,0.347678869,105.46,7.065791288,30525.04148,86.5734,26225.09259,77.7942,83.41896558,65.16244917,102.8391623,72.13658549,45.46950955,35.02608119,255.4713386,3.6865,0.883715,2856.369485,12953.81015,452.1075475
2017/1/4,0.689761158,133.6333446,99.28957504,53.21957899,40.45842899,4.612040589,2.023838093,0.51,516.6927834,516.7006759,516.6954499,516.6363482,516.6664163,1.404470573,0.020955,0.9457,0,0,0,0.660054077,1.540126181,3.666967097,1.466786839,3.666967097,0,4.400360516,2583.338174,783.9713765,2736.723878,385.7649386,7750.662249,5523.173345,5869.932831,2439.266513,8078.831668,5325.343603,9101.468588,1223.851284,678.8996516,1663.341961,1181.162706,4551.262083,7804.408668,2516.081006,1647.935013,310.3209261,950.0435401,84.55373548,139.4700791,73345.20908,2420.547369,891.4965634,2806.807931,3085.240908,1276.47674,1500.680592,1.298904038,1876.398856,2829.948968,33.48041818,895.862932,2217.141252,85.23296819,2462.151822,953.446607,3768.141646,136.9110328,12725.12264,0,405.2070952,122.6202731,3153.228862,1862.106327,9460.269222,4904.63425,7.675342044,92.10410453,5.904109265,11299.87472,70.84931118,135.5485085,97.50636451,1761.353237,73345.26988,4.804252662,31.35122134,71.4126613,80.83152531,0.38277125,104.57,7.297612416,30822.74913,86.4702,27354.28346,78.1577,83.66281967,64.93771332,102.8757155,75.12959067,45.39609951,34.90659728,258.3080029,3.5945,0.87185,2777.157332,13253.62353,481.655166
2017/1/5,1.337310435,133.7585649,99.38261372,46.80275492,34.28747254,3.943288488,2.164826814,0.56,517.0078845,517.0055895,517.0024424,516.9883471,516.996411,1.442833733,0.021475,0.9823,0,0,0,0.065995708,0.153989985,0.366642822,0.146657129,2.199856931,0,3.666428219,2199.927395,685.2611964,2264.676485,321.9123976,7749.839423,6304.094531,5752.844572,2414.709625,8310.666967,9256.032039,5362.409791,1212.139848,672.4030369,1647.424893,1169.859771,4237.552382,8073.092597,2485.592741,1619.827987,320.0226686,1050.632202,97.17502961,119.7335186,73334.43067,2405.734571,904.2061344,2775.66074,3216.319337,1341.8473,1640.345334,1.394025827,2133.916123,3204.068827,35.24786079,899.5894361,2240.143304,81.58279874,2493.234387,861.5912628,3390.403983,126.8842965,12906.34269,99.35336912,351.652848,107.1823399,3130.486514,1848.676072,9392.037977,4869.260066,5.808440944,83.6415496,5.808440944,10794.9875,89.33382172,169.7398317,119.2763348,1608.717659,73334.47517,4.797292394,31.23826569,70.14736613,81.16025797,0.399822612,104.89,7.092533549,30848.00294,86.6813,27972.82217,78.1402,83.24729616,64.1495596,103.4097776,79.34784295,45.04192147,34.32480623,262.1243483,3.7,0.8667,2982.192634,13530.63682,475.9820717
2017/1/6,1.615844379,133.7032203,99.34149267,51.88230872,39.59212517,4.275739997,1.83098169,0.556666667,517.7962756,518.0036756,517.9888818,517.9822296,517.9685142,1.35454257,0.02187,1.00005,0,0,0,0.065937256,0.153853598,0.366318091,0.146527236,2.197908546,0,4.395817092,2366.438175,758.8286156,2384.889935,337.0126437,7970.967908,6539.189406,5881.30554,2446.272212,8313.097975,5465.282244,9213.208446,1189.912275,660.0728693,1617.215296,1148.407507,3813.763717,7878.855324,2443.596091,1487.25145,279.3589029,868.8710618,75.04794181,118.1789428,73264.35084,2410.070748,929.8013218,2931.313935,2796.577053,1540.489699,1946.707373,1.38516516,2139.152008,3209.305164,35.43681297,877.5607417,2206.152191,78.74212478,2505.26729,808.1969909,3153.30941,122.4354499,13149.25743,84.38504618,307.6243632,93.36628048,3166.64963,1870.031821,9500.534005,4925.509346,4.04006505,69.83541015,5.19436935,10499.55191,68.21938413,127.4908338,91.70947664,1609.10227,73264.40513,4.799429482,31.05997776,69.65454082,81.99334446,0.329627802,105.56,7.457999195,31003.41703,86.4032,26626.35688,77.4075,82.86160206,64.45954707,103.7151512,77.69946409,45.43005266,34.44085928,261.2855273,3.6085,0.91005,3487.197072,13056.65677,426.8845141
2017/1/7,1.440651504,133.720099,99.35403359,47.34834884,34.94124256,3.969597649,2.177782222,0.496666667,517.0586778,517.3512786,517.3411086,517.3456889,517.3166812,1.411994104,0.020905,1.00895,0,0,0,0,0,0,0,1.465722839,0,3.664307098,2211.169327,693.1565287,2238.895588,315.1304105,7700.935887,5865.004605,6030.77387,2381.066752,8139.737907,9108.843758,5212.887986,1192.167425,661.3238552,1620.280281,1150.583997,4553.341917,8029.062184,2933.005015,1654.801086,318.7473343,1062.356072,96.82378702,118.2449788,73293.47058,2426.340352,979.1690353,2818.450252,3437.645378,1260.715896,1509.947506,1.387743255,2166.110377,3241.35951,36.04440609,865.4045442,2163.076706,78.38886944,2486.01798,795.6531086,3125.293282,126.0730824,12923.35779,0,300.2010344,87.78885055,3123.52812,1844.566865,9371.16151,4858.436755,4.816960058,63.82472076,4.21484005,11162.65981,74.47555467,136.2501137,100.6402973,1720.52145,73293.52269,4.798158168,31.28409774,69.76176468,82.29340077,0.333146966,105.52,7.475217234,31076.90331,86.7813,27453.58829,77.7512,83.03580493,64.79460739,103.5079697,78.23154244,44.85431571,33.58847037,260.1822982,3.8995,0.911285,2770.663402,12937.85365,433.1503458
2017/1/8,1.377928639,133.6917913,99.33300091,47.29593564,34.88958001,4.02488199,2.120745511,0.563333333,516.9964256,517.0078346,517.0038766,517.0277519,517.0156628,1.384690571,0.020175,0.98646,0,0,0,0.329666537,0.769221919,1.831480759,0.732592304,2.197776911,0,3.662961518,2240.187367,699.2403333,2236.336925,320.875429,7801.823148,5928.856755,6048.579704,2421.217564,8217.333407,9157.055774,5226.083388,1193.429419,662.0239135,1621.995463,1151.801972,4209.413763,8097.72431,2862.650759,1608.040107,316.8455585,1031.507941,94.9673336,110.5074427,73268.02147,2376.25357,1069.297469,2822.582331,3311.689117,1315.783821,1584.48201,1.381895954,2251.781844,3356.080641,36.43104056,862.0632993,2152.810206,77.49661143,2473.252667,787.393245,3057.596735,126.8234942,13004.21672,0,299.7952546,87.1356126,3142.406598,1855.715352,9427.80043,4887.80095,5.182109828,61.03373797,4.030529866,10870.91484,69.4402717,128.6009197,93.4219244,1667.374399,73268.06964,4.798781941,31.69053209,69.40500395,82.3607434,0.320547023,105.76,7.294245906,30625.37677,86.2334,27058.84069,77.4356,82.96465258,64.59769199,102.5640201,73.24473977,44.78437252,33.44440694,254.0375393,3.6125,0.936875,2900.265831,13033.16016,425.3392131
2017/1/9,0.260604339,133.8236237,99.43095242,51.92598934,39.76531318,4.483564935,1.773804881,0.53,517.4572421,517.8592556,517.8623432,517.8602368,517.8203167,1.325573837,0.01925,1.013415,0,0,0,0,0,0,0,1.466842919,0,4.400528758,2467.506994,815.3300906,2428.315821,340.3075573,8019.549979,6603.211164,5908.639197,2456.96189,8116.486641,5358.602522,9013.079632,1174.359795,651.4455359,1596.077848,1133.397506,3903.075017,7777.980287,2820.887217,1458.041862,267.8462906,851.2156179,72.73781055,109.2899503,73350.2136,2404.586253,992.2623307,2704.934909,3681.885097,1135.855335,1335.319293,1.514405968,2108.307212,3151.685237,36.35974782,920.9480936,2284.100003,81.87930675,2617.346097,835.1554102,3277.396923,131.2901178,13210.27846,-0.000515052,317.2981553,91.00821962,3154.284413,1862.729672,9463.43607,4906.276088,4.65971067,64.07102171,4.077246836,10680.63932,69.89566005,131.9961405,94.27177149,1594.514032,73350.26124,4.808512582,35.19799115,70.19394554,81.69191316,0.325054731,105.48,6.960466507,30881.93198,86.5409,26211.92632,77.0906,83.29064216,64.74346969,102.7193421,70.09247304,46.0951437,35.0212615,253.9282204,3.963,0.78274,2471.174628,13167.02746,438.8864103
2017/1/10,1.755557582,133.8197549,99.42807786,52.51846573,40.22523603,4.242241226,1.849815018,0.646666667,518.040429,517.9920426,517.9895645,517.9751091,517.987795,1.378129521,0.01956,1.02826,0,0,0,0,0,0,0,2.199924514,0,4.399849029,2341.512883,763.0685873,2376.897112,339.5216834,7877.300451,6053.586044,6288.619717,2455.849066,8264.977131,5422.605317,9231.231142,1196.486085,663.7195196,1626.149792,1154.75202,4042.475084,7908.57691,2506.851914,1460.749878,279.9554213,881.4484435,76.81703632,118.3992161,73338.15023,2156.753486,947.337456,3071.449048,3799.826385,1269.664281,1578.773126,1.374649911,2226.354468,3341.822785,36.77833261,897.6157247,2246.867483,81.59101157,2507.314202,845.3950382,3313.149523,132.6684228,12999.03322,0,332.8219005,95.61065505,3111.764087,1837.619738,9335.867235,4840.138596,5.348731796,71.31642394,2.377214131,10428.43789,63.69211253,116.5238623,85.17101739,1557.742452,73338.20055,4.800879743,35.12409317,69.02441921,81.53380035,0.319722577,105.42,7.163540442,28611.54436,83.7805,26997.77074,77.6907,82.512281,63.56566846,102.647662,70.09643673,45.0532452,34.36380775,252.1611516,3.813,0.926285,2848.437407,13462.2827,434.1966536
